Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0009548,Res,450,S,40TH,ST,,BOULDER,Ranch,Average,1995,"1,400","1,400","1,260",140,Attached,336,"6,913",3930124,No,2021-11-19 00:00:00,"$967,500","$1,090,100",104,39.9864229,-105.24709489498557
R0013443,Res,460,S,40TH,ST,,BOULDER,Ranch,Average,1982,"1,411","1,411","1,300",111,Carport,288,"6,981",3887115,No,2021-05-17 00:00:00,"$860,000","$1,087,400",104,39.986180649999994,-105.24707227132409
R0014284,Res,545,S,40TH,ST,,BOULDER,Ranch,Average,1985,"1,400","1,400","1,400",0,Carport,312,"6,956",3771423,No,2020-03-11 00:00:00,"$750,000","$1,090,100",104,39.98493445,-105.24761475305851
R0012084,Res,285,S,41ST,ST,,BOULDER,Ranch,Average,2005,"1,152","1,152","1,042",110,Attached,220,"7,419",3850263,No,2021-01-11 00:00:00,"$920,000","$1,208,500",104,39.9887312,-105.24601116651024
R0012084,Res,285,S,41ST,ST,,BOULDER,Ranch,Average,1957,"1,152","1,152",532,620,Attached,220,"7,419",3793961,No,2020-06-19 00:00:00,"$628,000","$885,900",104,39.9887312,-105.24601116651024
R0012816,Res,315,S,41ST,ST,,BOULDER,Ranch,Average,1975,"1,152","1,152","1,037",115,Attached,220,"7,419",3911895,No,2021-08-31 00:00:00,"$800,000","$968,200",104,39.988394,-105.24626763496678
R0009545,Res,345,S,41ST,ST,,BOULDER,Ranch,Average,1956,"1,152","1,152",872,280,Attached,220,"7,369",3851695,No,2021-01-15 00:00:00,"$650,000","$855,200",104,39.9878657,-105.24649022843138
R0011073,Res,375,S,41ST,ST,,BOULDER,Ranch,Average,1985,"1,472","1,472","1,152",320,Attached,220,"7,260",3769404,No,2020-02-28 00:00:00,"$734,900","$1,064,700",104,39.98729225,-105.24665432628314
R0010646,Res,430,S,41ST,ST,,BOULDER,Ranch,Average,1970,"1,400","1,400",0,"1,400",Carport,288,"6,890",3798315,No,2020-07-14 00:00:00,"$670,000","$935,800",104,39.98679145,-105.24617116271136
R0013746,Res,525,S,41ST,ST,,BOULDER,Split-Level,Average,1980,"1,426",575,419,156,Attached,253,"7,033",3909415,No,2021-08-20 00:00:00,"$960,000","$1,161,800",104,39.98525475,-105.24665008210508
R0010612,Res,605,S,41ST,ST,,BOULDER,Ranch,Average,2005,"1,120","1,120",940,180,Attached,264,"7,029",3756207,No,2019-12-16 00:00:00,"$765,000","$1,095,700",104,39.984532,-105.24663685219002
R0069208,Res,640,S,41ST,ST,,BOULDER,Ranch,Average,2001,"1,107","1,106",996,110,Attached,264,"7,136",3740529,No,2019-09-30 00:00:00,"$715,000","$1,019,200",104,39.9839504,-105.2461844
